2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v190 (ADHD): shape=(19, 15465), duration=120.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v196 (ADHD): shape=(19, 13395), duration=104.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v198 (ADHD): shape=(19, 19621), duration=153.3s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v19p (ADHD): shape=(19, 23063), duration=180.2s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v1p (ADHD): shape=(19, 12258), duration=95.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v200 (ADHD): shape=(19, 12739), duration=99.5s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v204 (ADHD): shape=(19, 20456), duration=159.8s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v206 (ADHD): shape=(19, 20173), duration=157.6s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v209 (ADHD): shape=(19, 30273), duration=236.5s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v20p (ADHD): shape=(19, 35328), duration=276.0s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v213 (ADHD): shape=(19, 12353), duration=96.5s
2026-09-21 14:36:17 | src.data_loader | INFO | DS-2 loaded v215 (ADHD): shape=(19, 21372), duration=167.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v219 (ADHD): shape=(19, 27157), duration=212.2s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v21p (ADHD): shape=(19, 16574), duration=129.5s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v227 (ADHD): shape=(19, 28080), duration=219.4s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v22p (ADHD): shape=(19, 12100), duration=94.5s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v231 (ADHD): shape=(19, 19713), duration=154.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v234 (ADHD): shape=(19, 34191), duration=267.1s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v236 (ADHD): shape=(19, 13502), duration=105.5s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v238 (ADHD): shape=(19, 9852), duration=77.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v244 (ADHD): shape=(19, 39030), duration=304.9s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v246 (ADHD): shape=(19, 21307), duration=166.5s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v24p (ADHD): shape=(19, 16385), duration=128.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v250 (ADHD): shape=(19, 13853), duration=108.2s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v254 (ADHD): shape=(19, 10477), duration=81.9s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v25p (ADHD): shape=(19, 9894), duration=77.3s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v263 (ADHD): shape=(19, 18657), duration=145.8s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v265 (ADHD): shape=(19, 18389), duration=143.7s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v270 (ADHD): shape=(19, 23681), duration=185.0s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v274 (ADHD): shape=(19, 17323), duration=135.3s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v279 (ADHD): shape=(19, 20134), duration=157.3s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v27p (ADHD): shape=(19, 28880), duration=225.6s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v284 (ADHD): shape=(19, 15383), duration=120.2s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v286 (ADHD): shape=(19, 11465), duration=89.6s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v288 (ADHD): shape=(19, 20115), duration=157.1s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v28p (ADHD): shape=(19, 27612), duration=215.7s
2026-09-21 14:36:18 | src.data_loader | INFO | DS-2 loaded v297 (NC): shape=(19, 13697), duration=107.0s
